country,lat,lon
Trinidad and Tobago,10.6918,-61.2225
Tunisia,33.8869,9.5375
Turkey,38.9637,35.2433
Turkmenistan,40.0622,59.5563
Tuvalu,-7.1095,179.194
Uganda,1.3733,32.2903
Ukraine,48.3794,31.1656
United Arab Emirates,23.4241,53.8478
United Kingdom,55.3781,-3.436
United States,37.0902,-95.7129
Uruguay,-32.5228,-55.7658
Uzbekistan,41.3775,64.5853
Vanuatu,-15.3763,166.9591
Vatican City,41.9029,12.4534
Venezuela,-6.4238,-66.5897
Vietnam,14.0583,108.2772
Yemen,15.5524,48.5164
Zambia,-13.1339,27.8493
Zimbabwe,-19.0154,29.1549
